Methode,Categorie,Subcategorie,Naam,ID
,,,4+5 havo release 2021 Leeropdrachtenboek M5 Speltheorie,593589-pe-havo-m5_bladerboek
,,,4+5 havo release 2022 Leeropdrachtenboek M6 Risico en verzekeren,593590-01_pe_bb_m6_havo_bladerboek
,,,4+5 havo release 2022 Leeropdrachtenboek M7 Economische groei,593591-01_pe_bb_m7_havo_bladerboek
,,,4+5 havo release 2022 Leeropdrachtenboek M8 Conjuctuur en economisch beleid ,593592-01_pe_havo_m8_bladerboek
All Right,Onderbouw MAX,Leerjaar 1,1 vmbo-bk MAX Leerwerkboek,all_right_1bk_lwb_bladerboek
,,,1 vmbo-kgt MAX Leerwerkboek,all_right_1kgt_lwb_bladerboek
,,,1 vmbo-t/havo MAX Leerwerkboek,all_right_1th_lwb_bladerboek
,,,1 havo/vwo MAX Leerwerkboek,all_right_1hv_lwb_bladerboek
,,,1 vwo/gymnasium MAX Leerwerkboek,all_right_1vg_lwb_bladerboek
,,Leerjaar 2,2 vmbo-bk MAX Leerwerkboek,all_right_2bk_lwb_bladerboek
,,,2 vmbo-kgt MAX Leerwerkboek,all_right_2kgt_lwb_bladerboek
,,,2 vmbo-t/havo MAX Leerwerkboek,all_right_2th_lwb_bladerboek
,,,2 havo/vwo MAX Leerwerkboek,all_right_2hv_lwb_bladerboek
,,,2 vwo/gymnasium MAX Leerwerkboek,all_right_2vg_lwb_bladerboek
,,Leerjaar 3,3 havo MAX Leerwerkboek,599543-01_ar_3h_lwb_bladerboek
,,,3 vwo/gymnasium MAX Leerwerkboek,599544-01_ar_3vg_lwb_bladerboek
,Bovenbouw vmbo MAX,Leerjaar 3,3 vmbo-b MAX Leerwerkboek deel A,all_right_3b_lwb_a_bladerboek
,,,3 vmbo-b MAX Leerwerkboek deel B,all_right_3b_lwb_b_bladerboek
,,,3 vmbo-k MAX Leerwerkboek deel A,all_right_3k_lwb_a_bladerboek
,,,3 vmbo-k MAX Leerwerkboek deel B,all_right_3k_lwb_b_bladerboek
,,,3 vmbo-gt MAX Leerwerkboek deel A,all_right_3gt_lwb_a_bladerboek
,,,3 vmbo-gt MAX Leerwerkboek deel B,all_right_3gt_lwb_b_bladerboek
,,Leerjaar 4,4 vmbo-b MAX Leerwerkboek,all_right_4b_lwb_bladerboek
,,,4 vmbo-k MAX Leerwerkboek,all_right_4k_lwb_bladerboek
,,,4 vmbo-gt MAX Leerwerkboek,all_right_4gt_lwb_bladerboek
,Onderbouw ed. 2,Leerjaar 1,1 lwoo/vmbo-b ed. 2 Tekstboek,543193_ar_1lwoo-b_tb_bladerboek
,,,1 vmbo-bk ed. 2 Tekstboek,543187_ar_1bk_tb_bladerboek
,,,1 vmbo-kgt ed. 2 Tekstboek,543190_ar_1kgt_tb_bladerboek
,,,1 vmbo-t/havo ed. 2 Tekstboek,543192_ar_1thv_tb_bladerboek
,,Leerjaar 2,2 lwoo/vmbo-b ed. 2 Tekstboek,545594_ar_2lwoo-b_tb_bladerboek
,,,2 vmbo-bk ed. 2 Tekstboek,545591_ar_2bk_tb_bladerboek
,,,2 vmbo-kgt ed. 2 Tekstboek,545592_ar_2kgt_tb_bladerboek
,,,2 vmbo-t/havo ed. 2 Tekstboek,545593_ar_2thv_tb_bladerboek
,,,2 vwo ed. 2 Tekstboek,545595_ar_2v_tb_bladerboek
,,Leerjaar 3,3 havo ed. 2 Tekstboek,545658_ar_3h_tb_bladerboek
,,,3 vwo ed. 2 Tekstboek,549005_ar_3v_tb_bladerboek
,Bovenbouw vmbo ed. 2,Leerjaar 3,3 vmbo-b ed. 2 Tekstboek,545597_ar_3b_tb_bladerboek
,,,3 vmbo-k ed. 2 Tekstboek,545598_ar_3k_tb_bladerboek
,,,3 vmbo-gt ed. 2 Tekstboek,545630_ar_4gt_tb_bladerboek
,,Leerjaar 4,4 vmbo-b ed. 2 Tekstboek,545627_ar_4b_tb_bladerboek
,,,4 vmbo-k ed. 2 Tekstboek,545629_ar_4k_tb_bladerboek
,,,4 vmbo-gt ed. 2 Tekstboek ,545630_ar_4gt_tb_bladerboek
,Bovenbouw havo/vwo/gymnasium,Leerjaar 4,Of Course! 4 havo MAX 5.0,605390-01_oc_lwb_4h_bladerboek
,,,Of Course! 4 vwo/gymnasium MAX 5.0,605391-01_wl_oc_lwb_4vg_bladerboek
,,Leerjaar 4/5/6,Reference Book 5.0 ,605392-01_oc_referencebook_hvg_bladerboek-qq3qxymw_vmm
